"Date","meet_inclusion_criteria","month","day","year","town","state","perpetrator_name","venue","num_shot_public","num_gun_fatalities_public","num_gun_injuries_public","num_shot_private","num_gun_fatalities_private","num_gun_injuries_private","public_victims_knew_perp","julian_day","during_ban","lknown_if_high_capacity_involved","lFAWB_banned_firearm","summary","reason_excluded","url1","url2","url3","url4","url5","url6","url7","url8","url9","url10","url11","url12","url13"
2011.02,"Yes",1,8,2011,"Tucson","AZ","Jared Lee Loughner","Public place(s)",20,6,14,0,0,0,"No",14982,0,1,TRUE,"Perpetrator opened fire in a supermarket parking lot where Congresswoman Gabrielle Giffords was meeting with constituents, killing six and injuring 13.",""," https://wapo.st/2QGAWNx"," https://lat.ms/2B3peaH"," http://bit.ly/2QDEbFz"," http://bit.ly/2qLhkMW","","","","","","","","",""
2010.59,"Yes",8,3,2010,"Hartford","CT","Omar S. Thornton","Workplace",10,8,2,0,0,0,"Yes",14824,0,1,TRUE,"Perpetrator opened fire at his work place, killing eight and injuring two.",""," https://cbsn.ws/2R8cSqv"," https://bit.ly/2Byo1H5"," https://bit.ly/2SYszOd"," https://bit.ly/2EGiOBp"," https://nyti.ms/2QKgpfr","","","","","","","",""
2010.43,"Yes",6,6,2010,"Hialeh","FL","Gerardo Regalado","Public place(s)",7,4,3,0,0,0,"Partly",14766,0,0,FALSE,"Perpetrator opened fire at a restaurant, killing four and wounding three.",""," https://nydn.us/2rJDwYv"," https://bit.ly/1Lpzk52","","","","","","","","","","",""
2009.91,"Yes",11,29,2009,"Parkland","WA","Maurice Clemmons","Public place(s)",4,4,0,0,0,0,"No",14577,0,1,TRUE,"Perpetrator opened fire on police as a coffee shop, killing four.",""," https://cnn.it/2GxkBu5"," https://abcn.ws/2QKgtMd"," https://bit.ly/2PPIs7y"," https://bit.ly/2A5JUho"," https://every.tw/2JPBIVz"," https://wapo.st/2EPr55n","","","","","","",""
2009.85,"Yes",11,5,2009,"Fort Hood","TX","Nidal Hasan","Workplace",44,13,31,0,0,0,"Partly",14553,0,1,TRUE,"Perpetrator opened fire at Fort Hood, killing 13 and injuring 32.",""," https://abcn.ws/2A9pWCb"," https://bit.ly/2gMymFZ"," https://nbcnews.to/2LsGLMK"," https://abcn.ws/2Bub5SL"," https://wapo.st/2EPr55n","","","","","","","",""
2009.83,"Yes",11,1,2009,"Mount Airy","NC","Marcos Chavez Gonzalez","Public place(s)",4,4,0,0,0,0,"Yes",14549,0,1,TRUE,"The perpetrator opened fire outside a store, killing four.",""," https://bit.ly/2GuydWV"," https://bit.ly/2hGk2Ri","","","","","","","","","","",""
2009.25,"Yes",4,3,2009,"Binghamton","NY","Jiverly Wong","Public place(s)",17,13,4,0,0,0,"Partly",14337,0,1,TRUE,"Perpetrator opened fire at a civic association center, killing 13 and injuring four.",""," https://bit.ly/2A9RTd0"," https://cnn.it/2ExYvox"," https://bit.ly/2rJxFlT"," https://bit.ly/22RcQnh"," https://bit.ly/2T27OkT"," https://every.tw/2JPBIVz","","","","","","",""
2009.24,"Yes",3,29,2009,"Carthage","NC","Robert Stewart","Public place(s)",10,8,2,0,0,0,"No",14332,0,1,FALSE,"Perpetrator opened fire at a nursing home where his estranged wife worked, killing eight and injuring two.",""," https://bit.ly/2rMgBvr"," https://bit.ly/2rKUhSU"," https://wapo.st/2z8jJWD","","","","","","","","","",""
2008.48,"Yes",6,25,2008,"Henderson","KY","Wesley Neal Higdon","Workplace",6,5,1,0,0,0,"Yes",14055,0,1,FALSE,"Perpetrator opened fire at his workplace, killing five and injuring one.",""," https://nyti.ms/2QGD0cJ"," https://abcn.ws/2QLqicM"," http://bit.ly/2CmTyxk"," https://nbcnews.to/2QGNNDt"," https://cnnmon.ie/2R4ZS52"," https://fxn.ws/2LqFm9x","","","","","","",""
2008.21,"Yes",3,18,2008,"Santa Maria","CA","Lee Isaac Bedwell Leeds","Workplace",4,4,0,0,0,0,"Partly",13956,0,1,FALSE,"Perpetrator killed a family member, two co-workers, and a customer at a salvage yard.",""," http://bit.ly/2EEOGGd"," https://nbcnews.to/2BFaoGv"," http://bit.ly/2Scrylx","","","","","","","","","",""
